2025-04-08T16:48:28.858Z | Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:48:28.858Z | block 28670777 | Opp #49 | UNI=1497.7382 | SUSHI=1499.8002 | AAVE=1494.4609 | BA=0.2188% | DS=0.1377% | TOTALbps=35.65 | ROUTE=Buy Uni / Sell Sushi | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=2
2025-04-08T16:48:33.064Z | Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:48:33.064Z | block 28670778 | Opp #50 | UNI=1498.0803 | SUSHI=1499.4285 | AAVE=1494.4609 | BA=0.2416% | DS=0.0900% | TOTALbps=33.16 | ROUTE=Buy Uni / Sell Sushi | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=3
2025-04-08T16:48:37.129Z | Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:48:37.129Z | block 28670781 | Opp #51 | UNI=1499.2375 | SUSHI=1499.4285 | AAVE=1494.4609 | BA=0.3186% | DS=0.0127% | TOTALbps=33.13 | ROUTE=Buy Uni / Sell Sushi | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=4
2025-04-08T16:48:41.254Z | Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:48:41.254Z | block 28670783 | Opp #52 | UNI=1499.2375 | SUSHI=1499.2368 | AAVE=1494.4609 | BA=0.3186% | DS=0.0000% | TOTALbps=31.86 | ROUTE=Buy Sushi / Sell Uni | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=5
2025-04-08T16:48:45.204Z | block 28670786 | Opp #53 | UNI=1499.2377 | SUSHI=1499.2263 | AAVE=1500.2715 | BA=-0.0697% | DS=0.0008% | TOTALbps=-6.90 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:48:49.450Z | block 28670788 | Opp #54 | UNI=1498.9476 | SUSHI=1499.2263 | AAVE=1500.2715 | BA=-0.0883% | DS=0.0186% | TOTALbps=-6.97 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:48:53.577Z | block 28670790 | Opp #55 | UNI=1498.8840 | SUSHI=1499.2263 | AAVE=1500.2715 | BA=-0.0926% | DS=0.0228% | TOTALbps=-6.97 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:48:57.494Z | block 28670792 | Opp #56 | UNI=1498.8840 | SUSHI=1499.2263 | AAVE=1500.2715 | BA=-0.0926% | DS=0.0228% | TOTALbps=-6.97 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=5
2025-04-08T16:49:01.468Z | block 28670794 | Opp #57 | UNI=1499.2931 | SUSHI=1499.2263 | AAVE=1500.2715 | BA=-0.0697% | DS=0.0045% | TOTALbps=-6.53 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=5
